Name,EnglishName,NodeType,DataType,NodeLanguage,NodeId
开罐占位_罐体,Open_Can_Body_Occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|开罐占位_罐体
加样占位,Add_Sample_Occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|加样占位
球磨占位_1,Ball_Mill_Occupied_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|球磨占位_1
球磨占位_2,Ball_Mill_Occupied_2,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|球磨占位_2
球磨占位_3,Ball_Mill_Occupied_3,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|球磨占位_3
球磨占位_4,Ball_Mill_Occupied_4,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|球磨占位_4
过筛球磨罐占位,Sieve_Can_Occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|过筛球磨罐占位
过筛小坩埚占位,Sieve_Crucible_Occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|过筛小坩埚占位
过筛漏斗占位,Sieve_Funnel_Occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|过筛漏斗占位
刮粉占位,Scrape_Powder_Occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|刮粉占位
马弗炉占位_1,Muffle_Furnace_Occupied_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉占位_1
马弗炉占位_2,Muffle_Furnace_Occupied_2,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉占位_2
马弗炉占位_3,Muffle_Furnace_Occupied_3,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉占位_3
马弗炉占位_4,Muffle_Furnace_Occupied_4,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉占位_4
马弗炉占位_5,Muffle_Furnace_Occupied_5,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉占位_5
马弗炉占位_6,Muffle_Furnace_Occupied_6,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|马弗炉占位_6
上成品料架占位,Upper_Product_Rack_Occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|上成品料架占位
下成品料架占位,Lower_Product_Rack_Occupied,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|下成品料架占位
加样工艺配方参数选择,Add_Sample_Process_Recipe_Param_Select,VARIABLE,INT16,Chinese,ns=4;s=uniab|加样工艺配方参数选择
球磨工艺配方参数选择,Ball_Mill_Process_Recipe_Param_Select,VARIABLE,INT16,Chinese,ns=4;s=uniab|球磨工艺配方参数选择
过筛工艺配方参数选择,Sieve_Process_Recipe_Param_Select,VARIABLE,INT16,Chinese,ns=4;s=uniab|过筛工艺配方参数选择
刮粉工艺配方参数选择,Scrape_Powder_Process_Recipe_Param_Select,VARIABLE,INT16,Chinese,ns=4;s=uniab|刮粉工艺配方参数选择
错误输出代码,Error_Output_Code,VARIABLE,INT16,Chinese,ns=4;s=uniab|错误输出代码
警告输出代码,Warning_Output_Code,VARIABLE,INT16,Chinese,ns=4;s=uniab|警告输出代码
系统输出代码,System_Output_Code,VARIABLE,INT16,Chinese,ns=4;s=uniab|系统输出代码
信息输出代码,Info_Output_Code,VARIABLE,INT16,Chinese,ns=4;s=uniab|信息输出代码
小坩埚出料占位_1,Small_Crucible_Discharge_Occupied_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|小坩埚出料占位_1
小坩埚出料占位_2,Small_Crucible_Discharge_Occupied_2,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|小坩埚出料占位_2
小坩埚出料占位_3,Small_Crucible_Discharge_Occupied_3,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|小坩埚出料占位_3
小坩埚出料占位_4,Small_Crucible_Discharge_Occupied_4,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|小坩埚出料占位_4
ROBOT_1_occupy[1],Can_Rack_Occupied_1,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[1]
ROBOT_1_occupy[2],Can_Rack_Occupied_2,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[2]
ROBOT_1_occupy[3],Can_Rack_Occupied_3,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[3]
ROBOT_1_occupy[4],Can_Rack_Occupied_4,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[4]
ROBOT_1_occupy[5],Can_Rack_Occupied_5,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[5]
ROBOT_1_occupy[6],Can_Rack_Occupied_6,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[6]
ROBOT_1_occupy[7],Can_Rack_Occupied_7,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[7]
ROBOT_1_occupy[8],Can_Rack_Occupied_8,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[8]
ROBOT_1_occupy[9],Can_Rack_Occupied_9,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[9]
ROBOT_1_occupy[10],Can_Rack_Occupied_10,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[10]
ROBOT_1_occupy[11],Can_Rack_Occupied_11,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[11]
ROBOT_1_occupy[12],Can_Rack_Occupied_12,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[12]
ROBOT_1_occupy[13],Can_Rack_Occupied_13,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[13]
ROBOT_1_occupy[14],Can_Rack_Occupied_14,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[14]
ROBOT_1_occupy[15],Can_Rack_Occupied_15,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[15]
ROBOT_1_occupy[16],Can_Rack_Occupied_16,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[16]
ROBOT_1_occupy[17],Can_Rack_Occupied_17,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[17]
ROBOT_1_occupy[18],Can_Rack_Occupied_18,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[18]
ROBOT_1_occupy[19],Can_Rack_Occupied_19,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[19]
ROBOT_1_occupy[20],Can_Rack_Occupied_20,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[20]
ROBOT_1_occupy[21],Can_Rack_Occupied_21,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[21]
ROBOT_1_occupy[22],Can_Rack_Occupied_22,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[22]
ROBOT_1_occupy[23],Can_Rack_Occupied_23,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[23]
ROBOT_1_occupy[24],Can_Rack_Occupied_24,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[24]
ROBOT_1_occupy[25],Can_Rack_Occupied_25,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[25]
ROBOT_1_occupy[26],Can_Rack_Occupied_26,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[26]
ROBOT_1_occupy[27],Can_Rack_Occupied_27,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[27]
ROBOT_1_occupy[28],Can_Rack_Occupied_28,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[28]
ROBOT_1_occupy[29],Can_Rack_Occupied_29,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[29]
ROBOT_1_occupy[30],Can_Rack_Occupied_30,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[30]
ROBOT_1_occupy[31],Can_Rack_Occupied_31,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[31]
ROBOT_1_occupy[32],Can_Rack_Occupied_32,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_1_occupy[32]
ROBOT_2_occupy[21],Crucible_Rack_Occupied_21,VARIABLE,BOOLEAN,Chinese,ns=4;s=uniab|ROBOT_2_occupy[21]
